AÑ;PERIODO;FECHA DE EMISION;FECHA DE VENCIMIENTO;CODIGO DE CLIENTE;CLIENTE;Indicador;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE  CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;TIPO DE PAGO;CONDICION DE PAGO;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;VENDEDORES
2024;2024-05;23/05/2024;23/05/2024;20606941006;GRUPO BYR HIDRAULICS DRILLING S.A.C.;1;FACTURA;F001-00039919;USD;3.74;46.78;8.42;55.2;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-05;23/05/2024;23/05/2024;20604011397;EL GANADERO GENETICS E.I.R.L.;1;FACTURA;F001-00039922;USD;3.74;3,162.50;569.25;3,731.75;0;0;0;CONTADO;Contado;NOTA DE CRÉDIT;F001-00001467;USD;3.743;-3,162.50;-569.25;-3,731.75;0;0;0;JACKELINE PANDO
2024;2024-05;23/05/2024;23/05/2024;20603884133;AW METAL INDUSTRY S.A.C.;1;FACTURA;F001-00039923;USD;3.74;1,330.34;239.46;1,569.80;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-05;24/05/2024;24/05/2024;20601838428;SCION CAPITAL S.A.C.;1;FACTURA;F001-00039928;USD;3.75;232;41.76;273.76;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;24/05/2024;24/05/2024;20603841531;SEGYMAQ S.A.C.;1;FACTURA;F001-00039930;USD;3.75;4,989.88;898.18;5,888.06;0;0;0;CONTADO;Contado;NOTA DE CRÉDIT;F001-00001475;USD;3.746;-350.56;-63.1;-413.66;0;0;0;ROBSON MOSCOSO
2024;2024-05;24/05/2024;24/05/2024;20607922293;FELTWELL PERU S.A.C.;1;FACTURA;F001-00039932;USD;3.75;58.5;10.53;69.03;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-05;24/05/2024;24/05/2024;20551817131;LIA MINING SERVICES S.A.C.;1;FACTURA;F001-00039934;USD;3.75;994.88;179.08;1,173.96;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;29/05/2024;29/05/2024;20601838428;SCION CAPITAL S.A.C.;1;FACTURA;F001-00039948;USD;3.75;1,743.28;313.79;2,057.07;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;29/05/2024;29/05/2024;20607922293;FELTWELL PERU S.A.C.;1;FACTURA;F001-00039952;USD;3.75;53.11;9.56;62.67;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-06;11/06/2024;11/06/2024;20601838428;SCION CAPITAL S.A.C.;1;FACTURA;F001-00040096;USD;3.78;82.4;14.83;97.23;0;0;0;CONTADO;Contado;NOTA DE CRÉDIT;F001-00001477;USD;3.781;-82.4;-14.83;-97.23;0;0;0;ROBSON MOSCOSO
